barcode	trs_raw	trs_cap_01	trs_cap_1	trs_cap_5	celltype
BMM_R1_15	0.957154355008236	2.09468936983845	2.87173814172044	4.00612973964269	20_CD4.N1
BMM_R1_16	0.307904156383049	0.673834434258098	0.923800957758635	1.28872003913633	12_CD14.Mono.2
BMM_R1_19	0.0805876496022357	0.176362456148065	0.241786108900221	0.337296255332446	07_GMP
BMM_R1_21	0.5141741820745	1.12524713260858	1.54267031479844	2.15205465177807	22_CD4.M
BMM_R1_24	0.829161957763033	1.81458374995924	2.48772416623566	3.47042288487133	02_Early.Eryth
BMM_R1_25	0.257639499254338	0.563832486907423	0.772992540807143	1.078339407504	24_CD8.CM
BMM_R1_26	0.357109797165161	0.78151877183967	1.07143202131951	1.49466820190021	24_CD8.CM
BMM_R1_31	0.138582591676434	0.303281785336276	0.415787602295621	0.580031673059614	22_CD4.M
BMM_R1_33	0.447709454113529	0.979792056945419	1.34325702961002	1.87386929752618	24_CD8.CM
BMM_R1_36	0.366109695905413	0.801214646514625	1.09843430402216	1.53233690372291	11_CD14.Mono.1
BMM_R1_38	0.228000387455025	0.498968620287978	0.684066687421591	0.95428613791949	24_CD8.CM
BMM_R1_4	0.538269406530164	1.17797845046454	1.61496291289465	2.25290421148609	22_CD4.M
BMM_R1_6	0.605739968002181	1.32563474764688	1.81739398768281	2.53529944006039	22_CD4.M
BMM_R1_7	0.205697468858014	0.450159683404303	0.61715152199232	0.860938199831127	23_CD8.EM
BMM_R1_8	0.378006121198359	0.827249439617557	1.13412699881597	1.58212889694964	22_CD4.M
BMM_R1_9	0.112621154983822	0.24646634571444	0.337895831157629	0.471371159659737	21_CD4.N2
BMM_R1_10	1.38373853815886	3.02824971892043	4.15161328724779	5.66983846226515	06_CLP.1
BMM_R1_13	0.207445395869606	0.453984943260541	0.622395805364035	0.868254075632378	24_CD8.CM
BMM_R1_154	2.1526687954027	4.71101909417126	5.66983846226515	5.66983846226515	03_Late.Eryth
BMM_R1_155	0.297152228501822	0.650304322400767	0.891542084117215	1.24371829222049	02_Early.Eryth
BMM_R1_157	0.175347915366699	0.383741047010956	0.526094139356848	0.733911406095871	12_CD14.Mono.2
BMM_R1_231	0.969198794672319	2.12104808575298	2.90787492216554	4.0565412408631	12_CD14.Mono.2
BMM_R1_232	0.455051718948564	0.995860274177063	1.36528593420943	1.90460004158857	22_CD4.M
BMM_R1_234	0.266813680752739	0.583909771580598	0.80051772187138	1.11673756256156	11_CD14.Mono.1
BMM_R1_235	0.763629538984871	1.67116899112107	2.29110807653211	3.19613967192429	24_CD8.CM
BMM_R1_236	0.470043760376978	1.0286696843291	1.41026636705911	1.96734860738683	07_GMP
BMM_R1_237	0.266440375244643	0.583092809221894	0.79939769806278	1.11517510788523	07_GMP
BMM_R1_238	0.220929345334811	0.483493961801192	0.662851528913374	0.924690585248353	12_CD14.Mono.2
BMM_R1_239	0.280934214226686	0.614811925668452	0.842883380394894	1.17583846806714	12_CD14.Mono.2
BMM_R1_240	0.296381347632388	0.648617284198238	0.889229219965375	1.2404918024066	11_CD14.Mono.1
BMM_R1_241	0.191421734810945	0.418917879824171	0.574320217146331	0.801187708782378	12_CD14.Mono.2
BMM_R1_50	0.0847752647344982	0.185526864016688	0.254350157776184	0.35482334428289	12_CD14.Mono.2
BMM_R1_242	0.711029297872774	1.55605572299254	2.13329223640672	2.97598355067911	26_Unk
BMM_R1_243	0.206234972291986	0.451335985558185	0.618764186767409	0.863187898096333	23_CD8.EM
BMM_R1_244	0.153271665445131	0.335428164355569	0.459859045096243	0.641512180320195	11_CD14.Mono.1
BMM_R1_245	0.314550171881164	0.688378941048293	0.943740914252107	1.31653666055984	12_CD14.Mono.2
BMM_R1_247	0.648796358830695	1.41986172754848	1.94657553414926	2.71551017292417	22_CD4.M
